,return-date,order-id,sku,asin,fnsku,quantity,fulfillment-center-id,detailed-disposition,reason,status,license-plate-number,customer-comments
99,2020-05-02T22:29:01-07:00,112-7583983-1965067,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,DEFECTIVE,MISSING_PARTS,Unit returned to inventory,LPNPM141341096,
100,2020-04-24T09:41:36-07:00,113-0608794-3301813,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,DEFECTIVE,MISSING_PARTS,Unit returned to inventory,LPNPM037060905,
101,2020-04-13T11:45:21-07:00,112-1189830-4220209,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNPM033907832,
102,2020-04-10T16:28:53-07:00,112-5414978-6747465,PB-AA,B08268F6XN,B08268F6XN,1,IND8,SELLABLE,SWITCHEROO,Unit returned to inventory,LPNN713557301,
103,2020-04-10T16:28:53-07:00,112-5414978-6747465,PB-AA,B08268F6XN,B08268F6XN,1,IND8,SELLABLE,SWITCHEROO,Unit returned to inventory,LPNN713557340,
104,2020-01-30T00:27:59-08:00,112-2695907-1104224,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRR895781107,doesn't work. Won't fit in my device that takes AA batts.
105,2020-01-24T22:09:34-08:00,111-7968236-2013013,PB-AA,B08268F6XN,B08268F6XN,1,LAS2,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,LPNRR959056201,
106,2020-02-28T23:37:35-08:00,111-2184617-5185801,PB-AAA,B08267BBJT,B08267BBJT,1,LAS2,DEFECTIVE,MISSING_PARTS,Unit returned to inventory,LPNRR892736928,One battery does not charge
107,2020-02-14T16:30:42-08:00,113-9724539-1425050,PB-AA,B08268F6XN,B08268F6XN,1,IND8,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNN658216012,B08268F6XN:Does not work / defective
108,2020-02-06T08:45:51-08:00,112-5327973-8787457,PB-AA,B08268F6XN,B08268F6XN,1,IND8,CUSTOMER_DAMAGED,MISSING_PARTS,Unit returned to inventory,LPNN666297040,
109,2020-03-27T16:58:08-07:00,114-1922169-2532216,PB-AA,B08268F6XN,B08268F6XN,1,LEX1,CUSTOMER_DAMAGED,DEFECTIVE,Reimbursed,LPNRR942417413,
110,2020-03-01T20:15:11-08:00,111-0408617-4496214,PB-AAA,B08267BBJT,B08267BBJT,1,LEX2,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNRR954726203,
